author,publicationPlace,publicationYear,sourceLanguage,targetLanguage
"Barton, Bree",Białystok,2018,eng,pol
"Nirsimloo, Ananda Devi",Gdańsk,2018,fre,pol
"Zapata, Mariana",Oświęcim,2018,eng,pol
Hero,Warszawa,2018,jpn,pol
"Fantôme, Stylo",Oświęcim,2018,eng,pol
"Shirai, Kaiu",Warszawa,2018,,
"Blackstock, Terri",Rzeszów,2018,eng,pol
"Toler, B. N.",Oświęcim,2018,eng,pol
"Sapienza, Goliarda",Białystok,2018,ita,pol
"St. James, Simone",Oświęcim,2018,eng,pol
"Allende, Isabel",Warszawa,2018,spa,pol
"Fisher, Tarryn",Kraków,2018,eng,pol
"Miłosz, Czesław",Umeå,2016,pol,swe
"Hosoda, Mamoru",Warszawa,2018,jpn,pol
"Moraes, Thiago de",Warszawa,2018,eng,pol
"Yamamoto, Kana",Warszawa,2018,jpn,pol
"Bulgakov, Mikhail",Kraków,2018,rus,pol
"Mikanagi, Touya",Warszawa,2018,jpn,pol
[tłumaczenie Małgorzata Fabianowska],Warszawa,2018,eng,pol
[tłumaczenie Małgorzata Fabianowska],Warszawa,2018,eng,pol
"Totono, Shizuku",Warszawa,2018,jpn,pol
[tłumaczenie Natalia Wiśniewska],Warszawa,2018,eng,pol
"Fūgetsu, Makoto",Warszawa,2018,jpn,pol
"Naduka, Kudan",Warszawa,2018,jpn,pol
"Neel, Julien",Warszawa,2018,fre,pol
"Hatta, Ayuko",Warszawa,2018,jpn,pol
"Bartol, Amy A.",Warszawa,2018,eng,pol
"rysunki Laurent Verron, scenariusz Cric, Laurent Verron, Pierre Veys i Diego Aranega",Warszawa,2018,fre,pol
"[wybór, wstęp, tekst Lars von Törne].",Łódź,2018,ger,pol
"Redmerski, J. A.",Oświęcim,2018,eng,pol
"Trakl, Georg",Bydgoszcz,2015,ger,pol
"Redmerski, J. A.",Oświęcim,2018,eng,pol
"Palmer, Diana",Warszawa,2018,eng,pol
"Palmer, Diana",Warszawa,2018,eng,pol
"Robinson, M.",Oświęcim,2018,eng,pol
"Holmström, Johanna",Katowice,2018,swe,pol
"McLean, Jay",Białystok,2018,eng,pol
"Reynolds, Amanda",Białystok,2018,eng,pol
"Keeland, Vi",Białystok,2018,eng,pol
"Balzac, Honoré de",Warszawa,2016,fre,pol
"Balzac, Honoré de",Warszawa,2016,fre,pol
"Balzac, Honoré de",Warszawa,2016,fre,pol
"Balzac, Honoré de",Warszawa,2016,fre,pol
"Balzac, Honoré de",Warszawa,2016,fre,pol
"Balzac, Honoré de",Warszawa,2016,fre,pol
"Balzac, Honoré de",Warszawa,2016,fre,pol
Molière,Warszawa,2017,fre,pol
Molière,Warszawa,2017,fre,pol
Molière,Warszawa,2017,fre,pol
Molière,Warszawa,2017,fre,pol
Molière,Warszawa,2017,fre,pol
Molière,Warszawa,2017,fre,pol
Molière,Warszawa,2017,fre,pol
Crip,Warszawa,2018,fre,pol
"Bianco, Guillaume",Warszawa,2018,fre,pol
"Seijū, Natsumegu",Warszawa,2018,jpn,pol
"Saviano, Roberto",Katowice,2018,ita,pol
"Sakai, Stan",Warszawa,2018,eng,pol
"Dostoyevsky, Fyodor",Warszawa,2018,,
"Bulgakov, Mikhail",Warszawa,2018,,
"Turansky, Carrie",Rzeszów,2018,eng,pol
Morris,Warszawa,2018,fre,pol
"conrad, Joseph",Warszawa,2017,eng,pol
"Johnson, Myra",Rzeszów,2018,eng,pol
Morris,Warszawa,2018,fre,pol
"Hunter, Denise",Rzeszów,2018,eng,pol
"Bright, J. E.",Warszawa,2018,eng,pol
"Marías, Javier",Katowice,2018,spa,pol
"Swierczynski, Duane",Warszawa,2018,eng,pol
"Wolny, Maja",Kazimierz Dolny,2018,,
"Bright, J. E.",Warszawa,2018,eng,pol
"Adler-Olsen, Jussi",Katowice,2018,dan,pol
"Hargreaves, Roger",Warszawa,2018,eng,pol
"Hessérus, Madeleine",Katowice,2018,,
"Watts, Peter",Warszawa,2018,eng,pol
"Penney, Stef",Katowice,2018,eng,pol
"Hargreaves, Roger",Warszawa,2018,eng,pol
"Murakami, Haruki",Warszawa,2018,jpn,pol
"Tidhar, Lavie",Warszawa,2017,eng,pol
"Franco, Jorge",Warszawa,2018,spa,pol
"Hargreaves, Roger",Warszawa,2018,eng,pol
"Stone, Nic",Oświęcim,2018,eng,pol
"Vandermeer, Jeff",Warszawa,2018,eng,pol
"Verheiden, Mark",Łódź,2018,eng,pol
"McDonald, Ian",Warszawa,2017,eng,pol
"[Graham Masterton, Anna Musiałowicz, Adam Deka, Marek Ścieszek, Karolina Kaczkowska, Edward Lee, Norbert Góra, Piotr Sawicki, John Everson, Piotr Straczyński, Tomasz Czarny, Monica J. O'Rourke, Maciej Szymczak, Guy N. Smith, Dawid Kain, Marcin Piotrowski, C. V. Hunt, Kazimierz Kyrcz Jr, Shane McKenzie, Rafał Christ",Wrocław,2018,eng,pol
"Timm, Uwe",Łódź,2018,ger,pol
"Bałutowska, Urszula",,2018,pol,eng
"Guillou, Jan",Katowice,2018,swe,pol
"Kipling, Rudyard",Warszawa,2016,eng,pol
"Kipling, Rudyard",Warszawa,2017,eng,pol
"Kipling, Rudyard",Warszawa,2016,eng,pol
"Kipling, Rudyard",Warszawa,2017,eng,pol
"Kipling, Rudyard",Warszawa,2017,eng,pol
"David, Erica",Warszawa,2019,eng,pol
"David, Erica",Warszawa,2019,eng,pol
"David, Erica",Warszawa,2019,eng,pol
"Stowe, Harriet Beecher",Warszawa,2016,eng,pol
"Laclos, Choderlos de",Warszawa,2016,fre,pol
[tłumaczenia opowiadań na podstawie serialu telewizyjnego Paulina Zagórska].,Warszawa,2018,,pol
"Bonhomme, Matthieu",Warszawa,2018,fre,pol
"Brontë, Charlotte",Warszawa,2018,eng,pol
"Hargreaves, Roger",Warszawa,2018,eng,pol
"Porter, Eleanor H",Warszawa,2018,eng,eng
"Hargreaves, Roger",Warszawa,2018,eng,pol
"Dickens, Charles",Warszawa,2018,eng,pol
"Hargreaves, Roger",Warszawa,2018,eng,pol
"Hargreaves, Roger",Warszawa,2018,eng,pol
"Chekhov, Anton Pavlovich",Warszawa,2018,rus,pol
"Snow, Jenika",Białystok,2018,eng,pol
"Lee, Georgie",Warszawa,2018,eng,cze
"Casey, L. A.",Białystok,2018,eng,pol
"Tyner, Liz",Warszawa,2018,eng,cze
"Brontë, Charlotte",Warszawa,2018,eng,pol
"Scott, Bronwyn",Warszawa,2018,eng,cze
"Brontë, Anne",Warszawa,2018,eng,pol
"Hammond, Melinda",Warszawa,2018,eng,cze
"Andersen, Hans Christian",Sandomierz,2018,dut,pol
"Baricco, Alessandro",Katowice,2018,ita,pol
"Tell, Anna",Katowice,2018,swe,pol
"Stevens, Robin",Warszawa,2018,eng,pol
"[scenariusz Ted Anderson, Jeremy Whitley, James Asmus, rysunki Andy Price, Jay Fosgitt, Tony Fleecs",Warszawa,2018,eng,pol
"Rabelais, François",Warszawa,2018,fre,pol
"Higashino, Keigo",Kraków,2018,jap,pol
"Ney, Sara",Białystok,2018,eng,pol
[ilustracje Francesca Pesci,Sandomierz,2018,,pol
"Croft, Kathryn",Warszawa,2018,,pol
[ilustracje Francesca Pesci,Sandomierz,2018,,pol
"Balzac, Honoré de",Warszawa,2018,fre,pol
"Jensen, Louise",Warszawa,2018,eng,pol
"Perry, Devney",Warszawa,2018,eng,pol
"Collins, Wilkie",Warszawa,2018,eng,pol
"Chapman, Jane",Warszawa,2018,eng,pol
"Rabelais, François",Warszawa,2017,fre,pol
"Hargreaves, Roger",Warszawa,2018,eng,pol
"Zola, Émile",Warszawa,2016,,
"Byron, George Gordon Byron, baron",Warszawa,2017,eng,pol
"Hargreaves, Roger",Warszawa,2018,eng,pol
"Collins, Wilkie",Warszawa,2018,eng,pol
"Lucas, Jennie",Warszawa,2018,eng,cze
Voltaire,Warszawa,2017,fre,pol
"Diderot, Denis",Warszawa,2017,fre,pol
"Hargreaves, Roger",Warszawa,2018,eng,pol
"Pammi, Tara",Warszawa,2018,eng,cze
Voltaire,Warszawa,2018,fre,pol
"Miralles, Francesc",Warszawa,2018,spa,pol
"Cole, Tillie",Poznań,2018,eng,pol
"Graham, Lynne",Warszawa,2018,eng,cze
"Yates, Maisey",Warszawa,2018,eng,cze
"Breslin, Kate",Rzeszów,2018,eng,pol
"Young, Samantha",Warszawa,2018,eng,pol
"Young, Samantha",Warszawa,2018,eng,pol
"Yousafzai, Malala",Lublin,2018,eng,pol
"Diderot, Denis",Warszawa,2017,fre,pol
"Jones, Jöelle",Łódź,2018,eng,pol
"Callac, Gaëlle",Lublin,2018,fre,pol
"Pushkin, Aleksandr Sergeevich,‏",Warszawa,2017,rus,pol
"Bartnikowski, Bogdan",,2018,pol,rus
"Kendrick, Sharon",Warszawa,2018,eng,cze
"Jeffers, Oliver",Lublin,2018,eng,pol
"Steel, Danielle",Warszawa,2018,eng,pol
"Obligado, Rafael",Warszawa,2018,spa,pol
na podstawie opowiadań Tove Jansson,Warszawa,2016,eng,pol
"Steel, Danielle",Warszawa,2018,eng,pol
"Thomas, Rachael",Warszawa,2018,eng,cze
na podstawie opowiadań Tove Jansson,Warszawa,2016,eng,pol
"Blake, Maya",Warszawa,2018,eng,cze
"Rundell, Katherine",Warszawa,2018,eng,pol
na podstawie opowiadań Tove Jansson,Warszawa,2016,eng,pol
na podstawie opowiadań Tove Jansson,Warszawa,2016,eng,pol
"Natt och Dag, Niklas",Katowice,2018,swe,pol
"Hewitt, Kate",Warszawa,2018,eng,cze
"T︠S︡vetaeva, Marina",Warszawa,2018,rus,pol
"Ritchie, Krista",Warszawa,2018,eng,pol
"Isern, Susanna",Warszawa,2018,spa,pol
na podstawie opowiadań Tove Jansson,Warszawa,2016,eng,pol
"Long, Herbert Kingsley",Kraków,2018,eng,pol
"Marinelli, Carol",Warszawa,2018,eng,cze
"Hewitt, Kate",Warszawa,2018,eng,cze
"Young, Samantha",Warszawa,2018,eng,pol
"Orwell, George",Warszawa,2017,eng,pol
"Booth, Karen",Warszawa,2018,eng,cze
"Burns, Jillian",Warszawa,2018,eng,cze
"Azzarello, Brian",Warszawa,2018,eng,pol
"de Amicis, Edmondo",Warszawa,2017,ita,pol
"Lawrence, Kim",Warszawa,2018,eng,cze
"Casey, L. A.",Białystok,2018,eng,pol
"Hoffmann, E. T. A.",Warszawa,2017,ger,pol
"Schmid, Christoph von",Warszawa,2017,ger,pol
"Rock, Joanne",Warszawa,2018,eng,cze
,Warszawa,2018,eng,pol
na podstawie opowiadań Tove Jansson,Warszawa,2016,eng,pol
"Cantrell, Kat",Warszawa,2018,eng,cze
"Wiessalla, Josef",,2018,ger,pol
na podstawie opowiadań Tove Jansson,Warszawa,2018,eng,pol
"Brock, Andie",Warszawa,2018,eng,cze
"DePalo, Anna",Warszawa,2018,eng,cze
"Rice, Heidi",Warszawa,2018,eng,cze
"Smart, Michelle",Warszawa,2018,eng,cze
"Crews, Caitlin",Warszawa,2018,eng,cze
na podstawie opowiadań Tove Jansson,Warszawa,2018,eng,pol
"Stephens, Susan",Warszawa,2018,eng,cze
"Anderson, Natalie",Warszawa,2018,eng,cze
"Marinelli, Carol",Warszawa,2018,eng,cze
"Crialesi, Emiliano",Będzin,2017,,
"Hayward, Jennifer",Warszawa,2018,eng,cze
"Hammond, Melinda",Warszawa,2018,eng,cze
"Martin, Laura",Warszawa,2018,eng,cze
"Green, Abby",Warszawa,2018,eng,cze
"Shepherd-Barr, Kirsten",Łódź,2018,eng,pol
"Jodorowsky, Alejandro",Łódź,2015,fre,pol
Moebius,Łódź,2018,fre,pol
"Grisanti, Ben",Warszawa,2018,eng,pol
"Eteraz, Ali",Katowice,2018,eng,pol
"Groom, Winston",Poznań,2018,eng,pol
Jan Damasceński,Zgorzelec,2018,,pol
"Abnett, Dan",Łódź,2018,eng,pol
"Young, Samantha",Warszawa,2018,eng,pol
"Doyle, Arthur Conan",Wrocław,2018,eng,pol
"L'Engle, Madeleine",Warszawa,2018,eng,pol
"Gaiman, Neil",Warszawa,2017,eng,pol
"Irving, Washington",Sandomierz,2018,eng,pol
Ilona Kubejko (wyd.),Lublin,2018,ger,pol
"Scott, Bronwyn",Warszawa,2018,eng,cze
"Ferrero, Bruno",Warszawa,2018,ita,pol
"Brendan, Mary",Warszawa,2018,eng,cze
"Vandenberg, Patricia",Warszawa,2018,ger,pol
"Vandenberg, Patricia",Warszawa,2018,ger,pol
"Allen, Louise",Warszawa,2018,eng,cze
"Mann, Catherine",Warszawa,2018,eng,cze
"Webster, Eleanor‏",Warszawa,2018,eng,cze
"Dunlop, Barbara",Warszawa,2018,eng,cze
"Maynard, Janice",Warszawa,2018,eng,cze
"Gallet, Louis",Warszawa,2016,fre,pol
"Burnett, Frances Hodgson",Warszawa,2016,eng,pol
"Bjørnson, Bjørnstjerne",Warszawa,2016,nor,pol
"London, Jack",Warszawa,2016,eng,pol
"Curwood, James Oliver",Warszawa,2016,eng,pol
"Ottolengui, Rodrigues",Warszawa,2016,eng,pol
"Doyle, Arthur Conan",Warszawa,2016,eng,pol
"Marshall, Paula",Warszawa,2018,eng,cze
"Andrew, Sylvia",Warszawa,2018,eng,cze
"Walden, Emma",Łódź,2018,eng,pol
"Ziegler, Maddie",Warszawa,2018,eng,pol
"Jordan, Penny",Warszawa,2018,eng,pol
"Jordan, Penny",Warszawa,2018,eng,pol
"Murail, Marie-Aude",Warszawa,2018,fre,pol
"Mather, Anne",Warszawa,2018,eng,cze
"Leblanc, Maurice",Warszawa,2016,fre,pol
"Leblanc, Maurice",Warszawa,2016,fre,pol
"Leblanc, Maurice",Warszawa,2016,fre,pol
"Leblanc, Maurice",Warszawa,2016,fre,pol
"Patati, Carlos",Warszawa,2018,por,pol
"Leblanc, Maurice",Warszawa,2016,fre,pol
"Kendrick, Sharon",Warszawa,2018,eng,cze
"Leblanc, Maurice",Warszawa,2016,fre,pol
"Lindsay, Yvonne",Warszawa,2018,eng,cze
"Proust, Marcel",Warszawa,2016,fre,pol
"Proust, Marcel",Warszawa,2016,fre,pol
"Dickens, Charles",Warszawa,2018,eng,pol
"Proust, Marcel",Warszawa,2016,fre,pol
"Crossan, Sarah",Warszawa,2015,eng,pol
"Verne, Jules",Warszawa,2016,fre,pol
"Verne, Jules",Warszawa,2016,fre,pol
"Verne, Jules",Warszawa,2016,fre,pol
"Verne, Jules",Warszawa,2017,fre,pol
"Verne, Jules",Warszawa,2017,fre,pol
"Burnett, Alan",Warszawa,2018,eng,pol
"Leroux, Gastón",Warszawa,2016,fre,pol
"Leroux, Gastón",Warszawa,2016,fre,pol
"Leroux, Gastón",Warszawa,2016,fre,pol
"Pflugfelder, Bob",Warszawa,2018,eng,pol
"Johnson, Varian",Warszawa,2018,eng,pol
"Lofting, Hugh",Warszawa,2018,eng,pol
"Lawrence, Kim",Warszawa,2018,eng,cze
"Schulz, Charles M",Warszawa,2018,eng,pol
"Graham, Lynne",Warszawa,2018,eng,cze
"Vanden Heede, Sylvia",Warszawa,2016,dut,pol
"Reid, Michelle",Warszawa,2018,eng,cze
"Saint-Exupéry, Antoine de",Warszawa,2018,fre,pol
"Petreca, Guilherme",Warszawa,2018,por,pol
"Brooks, Max",Warszawa,2018,eng,pol
"Froissart, Lionel",Łódź,2018,fre,pol
"Landers, Ace",Łódź,2018,eng,pol
"West, Tracey",Łódź,2018,eng,pol
"O'Neil, Dennis",Warszawa,2018,eng,pol
"[wybór prac do katalogu Katarzyna Witerscheim, Wojciech Birek, Łukasz Mazur, Rafał Skarżycki, Paweł Timofiejuk, Piotr Kasiński",Łódź,2018,,pol
"Bukowski, Charles",Warszawa,2018,eng,pol
"autorzy Adam Bray, Lorraine Cink, John Sazaklis, Sven Wilson",Warszawa,2018,eng,pol
"Doyle, Arthur Conan",Warszawa,2016,eng,pol
"Von Arnim, Elizabeth",Warszawa,2018,pol,eng
"Doyle, Arthur Conan",Warszawa,2016,eng,pol
"Graham, Lauren",Poznań,2018,eng,pol
"Duggan, Gerry",Warszawa,2018,eng,pol
"Behling, Steve",Łódź,2018,eng,pol
"Dąbrowska, Krystyna",Wien,,pol,ger
"Warszawski, Ojzer",Sochaczew,2018,yid,pol
"Howard, Kate",Łódź,2018,eng,pol
"Hugo, Víctor",Warszawa,2016,fre,pol
"Ryman, Geoff",Warszawa,2017,eng,pol
"Hugo, Víctor",Warszawa,2017,fre,pol
"Priest, Christopher",Warszawa,2017,eng,pol
"Hill, Christian",Warszawa,2018,ita,pol
"Fry, Jason",Warszawa,2018,eng,pol
"Hill, Christian",Warszawa,2018,ita,pol
"Applegate, Katherine",Warszawa,2018,eng,pol
"Horikoshi, Kōhei",Warszawa,2018,jpn,pol
"Hosoda, Mamoru",Warszawa,2018,jpn,pol
"Potocki, Jan",Warszawa,2017,fre,pol
"James, Silver",Warszawa,2018,eng,cze
"Gjellerup, Karl",Warszawa,2017,dan,pol
"James, Silver",Warszawa,2018,eng,cze
"Shirai, Kaiu",Warszawa,2018,jpn,pol
"Gjellerup, Karl",Warszawa,2017,eng,pol
"James, Silver",Warszawa,2018,eng,cze
"Tagore, Rabîndranâth",Warszawa,2017,ben,pol
"Hatta, Ayuko",Warszawa,2018,jpn,pol
"Saint-Exupéry, Antoine de",Warszawa,2018,fre,pol
"Karika, Jozef",Rudno,2018,slo,pol
"Orwig, Sara",Warszawa,2018,eng,cze
"Hill, Christian",Warszawa,2018,ita,pol
"Hill, Christian",Warszawa,2018,ita,pol
"Thackeray, William Makepeace",Warszawa,2016,eng,pol
"Dunlop, Barbara",Warszawa,2018,eng,cze
"Tolkien, J. R. R.",Poznań,2018,eng,pol
"Tolkien, J. R. R.",Poznań,2018,eng,pol
"Rogers, Gregory",Warszawa,2018,eng,pol
"Lagerlöf, Selma",Warszawa,2017,swe,pol
"Kœniguer, Michel",Łódź,2018,fre,pol
"Jackson, Shirley",Zakrzewo,2018,eng,pol
"Hammond, Melinda",Warszawa,2018,eng,pol
"Dickson, Helen",Warszawa,2018,eng,pol
"King, Stephen",Warszawa,2018,eng,pol
"King, Stephen",Warszawa,2018,eng,pol
"King, Stephen",Warszawa,2018,eng,pol
"King, Stephen",Warszawa,2018,eng,pol
"King, Stephen",Warszawa,2018,eng,pol
"Masterton, Graham",Zakrzewo,2017,eng,pol
"Marion, Isaac",Zakrzewo,2017,eng,pol
ilustracje Disney Storybook Art Team,Warszawa,2018,eng,pol
"Tamaro, Susanna",Kraków,2018,ita,pol
"[naučnye redaktory O. O. Nesmelova, A. N. Paškurov, A. F. Galimullina]",Kazan,2016,rus,rus
"Wells, H. G.",Warszawa,2017,eng,pol
"Fabris, Francesca",Kielce,2018,ita,pol
"Blanchard, Alice",Warszawa,2018,eng,pol
"Fabris, Francesca",Kielce,2018,ita,pol
"Stevenson, Robert Louis",Warszawa,2016,eng,pol
"Fabris, Francesca",Kielce,2018,ita,pol
"Patterson, James",Warszawa,2018,eng,pol
"Fabris, Francesca",Kielce,2018,ita,pol
"Kántor, Péter",Szczecin,2018,hun,pol
"Fabris, Francesca",Kielce,2018,ita,pol
"Fabris, Francesca",Kielce,2018,ita,pol
"Scott, Bronwyn",Warszawa,2018,eng,pol
"Fabris, Francesca",Kielce,2018,ita,pol
"Kava, Alex",Warszawa,2018,eng,pol
"Allen, Louise",Warszawa,2018,eng,pol
"Moseley, Kirsty",Warszawa,2018,eng,pol
"Fabris, Francesca",Kielce,2018,ita,pol
"Fabris, Francesca",Kielce,2018,ita,pol
"Fabris, Francesca",Kielce,2018,ita,pol
"Capote, Truman",Warszawa,2018,eng,pol
"Gray, Justin",Warszawa,2018,eng,pol
"Isayama, Hajime",Mierzyn,2018,jpn,pol
"Isayama, Hajime",Mierzyn,2018,jpn,pol
"Michaels, Kasey",Warszawa,2018,eng,pol
"Roberts, Nora",Warszawa,2018,eng,cze
"Roberts, Nora",Warszawa,2018,eng,cze
"Scott, Bronwyn",Warszawa,2018,eng,pol
"Brendan, Mary",Warszawa,2018,eng,pol
"Fabris, Francesca",Kielce,2018,ita,pol
"Fabris, Francesca",Kielce,2018,ita,pol
"Wells, H. G.",Warszawa,2017,,
"Meyrink, Gustav",Warszawa,2017,ger,pol
"Amerikaner, Susan",Warszawa,2018,eng,pol
"Bulgakov, Mikhail",Warszawa,2017,rus,pol
[ilustracje Alfredo Belli,Kielce,2018,eng,pol
"Andersen, Sarah",Kraków,2018,eng,pol
"Andersen, Sarah",Kraków,2018,eng,pol
"Scarry, Richard",Warszawa,2018,eng,pol
"Fujishima, Kosuke",Mierzyn,2017,jpn,pol
"Koman, Dorota",Levoča,2018,pol,slo
"Delelis, Bénédicte",Kielce,2018,fre,pol
"Fujishima, Kosuke",Mierzyn,2018,jpn,pol
"Sapkowski, Andrzej",Madrid,2018,pol,spa
"Sapkowski, Andrzej",Madrid,2016,pol,spa
"Fujishima, Kosuke",Mierzyn,2018,jpn,pol
"conrad, Joseph",Warszawa,2018,eng,pol
"Fujishima, Kosuke",Mierzyn,2018,jpn,pol
"Bailey, Alison G.",Oświęcim,2018,eng,pol
Moebius,Warszawa,2018,fre,pol
"Fielding, Helen",Poznań,2018,eng,pol
"Welsh, Irvine",Zakrzewo,2016,eng,pol
"Sapkowski, Andrzej",,2017,pol,spa
"Sapkowski, Andrzej",Madrid,2013,pol,spa
"Burnett, Frances Hodgson",Warszawa,2018,eng,pol
"Rivers, Francine",Warszawa,2018,eng,pol
"Andrews, Amy",Warszawa,2018,eng,pol
"Steel, Danielle",Kraków,2018,eng,pol
"Palmer, Diana",Warszawa,2018,eng,pol
"McArthur, Fiona",Warszawa,2018,eng,pol
"Březinová, Ivona",,2018,cze,pol
"Palmer, Diana",Warszawa,2018,eng,pol
"MacKay, Sue",Warszawa,2018,eng,pol
"Sapkowski, Andrzej",Madrid,2016,pol,spa
"Sapkowski, Andrzej",Madrid,2015,pol,spa
"Marinelli, Carol",Warszawa,2018,eng,pol
"Palmer, Diana",Warszawa,2018,eng,pol
redakcja Adam Dziadek.,Warszawa,2018,eng,pol
"Smart, Michelle",Warszawa,2018,eng,pol
"Palmer, Diana",Warszawa,2018,eng,pol
"Wildstein, Bronisław",Praha,2018,pol,cze
"Smart, Michelle",Warszawa,2018,eng,pol
"Graham, Lynne",Warszawa,2018,eng,pol
"Aurora, Belle",Oświęcim,2018,eng,pol
"Anderson, Natalie",Warszawa,2018,eng,pol
"Craven, Sara",Warszawa,2018,eng,pol
"Graham, Lynne",Warszawa,2018,eng,pol
"Marinelli, Carol",Warszawa,2018,eng,pol
"Graham, Lynne",Warszawa,2018,eng,pol
"Slaughter, Karin",Warszawa,2018,eng,pol
"Slaughter, Karin",Warszawa,2018,eng,cze
"Ruus, May Lis",Warszawa,2018,nor,pol
"Silva, Daniel",Warszawa,2018,eng,pol
"Schmitt, Éric-Emmanuel",Kraków,2018,fre,pol
"Wildstein, Bronisław",Praha,2018,pol,cze
"Ryo, Haruto",Warszawa,2018,jpn,pol
"Wildstein, Bronisław",Praha,2018,pol,cze
"Grimm, Jacob",Warszawa,2018,,pol
"Evans, Richard Paul",Kraków,2018,eng,pol
"Collins, Dani",Warszawa,2018,eng,pol
"Vaughan, Brian K",Warszawa,2018,eng,pol
"wybór, redakcja i wstęp Andriej Moskwin",Warszawa,2018,bel,pol
"Olbiński, Rafał",Olszanica,2018,eng,pol
"Collins, Dani",Warszawa,2018,eng,pol
"Evans, Richard Paul",Kraków,2018,eng,pol
"Collins, Dani",Warszawa,2018,eng,pol
"Percy, Benjamin",Warszawa,2018,eng,pol
"Moryc, Katarzyna",Bratislava,2018,pol,slo
"Booth, Karen",Warszawa,2018,eng,pol
"Cantrell, Kat",Warszawa,2018,eng,pol
"Giglio, Loulie",Ustroń,2018,eng,pol
"Rob Williams, John Ostrander scenariusz, John Romita Jr., Richard Friend, Eddy Barrows, Eber Ferreira, Gus Vazques, Carlos Rodriguez rysunki i tusz",Warszawa,2018,eng,pol
"Dunlop, Barbara",Warszawa,2018,eng,pol
"Wójcińska, Agnieszka",Žilina,2018,pol,slo
"Pu, Songling",Toruń,2018,chi,pol
[wybór tekstów Wojciech Filipiuk,Częstochowa,2018,mul,pol
Moebius,Warszawa,2018,fre,pol
[wybór tekstów Wojciech Filipiuk,Częstochowa,2018,mul,pol
[wybór tekstów Wojciech Filipiuk,Częstochowa,2018,mul,pol
[wybór tekstów Wojciech Filipiuk,Częstochowa,2018,mul,pol
[wybór tekstów Wojciech Filipiuk,Częstochowa,2018,mul,pol
[wybór tekstów Wojciech Filipiuk,Częstochowa,2018,mul,pol
"scenariusz Ed Brubaker oraz Greg Rucka, rysunki Michael Lark oraz Paul Azaceta, Clay Mann, Tonci Zonjic i David Aja",Warszawa,2018,eng,pol
"Ruus, May Lis",Warszawa,2018,nor,pol
opowiedział Dariusz Muszer,Szczecin,2018,nor,pol
"Dehnel, Jacek",,2018,pol,eng
"Zagajewski, Adam",New York,2018,pol,eng
Stendhal,Warszawa,2016,fre,pol
"Zagajewski, Adam",New York,2018,pol,eng
"Białkowski, Tomasz",Berlin,2014,pol,ger
"Chesterton, G. K.",Zakrzewo,2017,eng,pol
"Saint-Exupéry, Antoine de",Wrocław,2017,fre,pol
"Ashbery, John",Wrocław,2018,eng,pol
"Alcott, Louisa May",Wrocław,2018,eng,pol
"Dickens, Charles",Wrocław,2017,eng,pol
"Korska, Kinga",Katowice,2018,pol,epo
"Bajerowicz, Katarzyna,…",Bratislava,2018,pol,slo
"Kinney, Jeff",Warszawa,2018,eng,pol
"Moryc, Katarzyna",Bratislava,2018,pol,slo
"Manara, Milo",Łódź,2018,ita,pol
Disney.,Łódź,2018,eng,pol
"Manara, Milo",Łódź,2018,ita,pol
"Lauren, Christina",Poznań,2018,eng,pol
"Hugo, Víctor",Warszawa,2018,fre,pol
"Hugo, Víctor",Warszawa,2018,fre,pol
"Beaton, M. C.",Warszawa,2018,eng,pol
"Beaton, M. C.",Warszawa,2018,eng,pol
"Aciman, André",Warszawa,2018,eng,pol
"Oliver, Sara.",Słupsk,2018,ger,pol
"Hashemzadeh Bonde, Golnaz",Warszawa,2018,swe,pol
"Hoffmann, E. T. A.",Warszawa,2017,ger,pol
Stendhal,Warszawa,2016,fre,pol
"Szymborska, Wisława",,2018,pol,cat
"Haig, Matt",Poznań,2018,eng,pol
"Gonsalves, Florence",Katowice,2018,eng,pol
"Drewery, Kerry",Katowice,2018,eng,pol
"Kuberska, Alicja",USA,2018,pol,pol
"Harris, Charlaine",Zakrzewo,2018,eng,pol
"Cadigan, Pat",Kraków,2018,eng,pol
"Winters, Ben H",Warszawa,2018,eng,pol
"Levickij, Gennadij Mihajlovič",Częstochowa,2018,rus,pol
"Roberts, Nora",Warszawa,2018,eng,pol
"Roberts, Nora",Warszawa,2018,eng,pol
"Steel, Danielle",Warszawa,2018,eng,pol
"Steel, Danielle",Warszawa,2018,eng,pol
[wybór tekstów Wojciech Filipiuk,Częstochowa,2018,mul,pol
[wybór tekstów Adrian Kobyłka,Częstochowa,2018,mul,pol
[wybór tekstów Ilona Kisiel,Częstochowa,2018,mul,pol
Stendhal,Warszawa,2016,fre,pol
"conrad, Joseph",Warszawa,2016,eng,pol
"Nesbit, E.",Warszawa,2017,eng,pol
"Teresa Colom, Jakub Kornhauser, Ryszard Krynicki, Isabel Robles, Bianka Rolando, Damià Rotger",Barcelona,2017,cat,cat
"Gromala, Monika",Budapest,2018,ger,pol
"McGeorge, Chris",Kraków,2018,eng,pol
"Kret, Anna",Żagań,2018,pol,pol
"Lainšček, Feri",Warszawa,2019,slv,pol
"La Fayette, Madame de",Warszawa,2016,fre,pol
[wybór tekstów Wojciech Filipiuk,Częstochowa,2018,mul,pol
"See, Lisa",Warszawa,2018,eng,pol
[wybór tekstów Adrian Kobyłka,Częstochowa,2018,mul,pol
