author,publicationPlace,publicationYear,sourceLanguage,targetLanguage
"Honna, Wakou",Warszawa,2021,jpn,pol
"Mizuno, Minami",Warszawa,2021,jpn,pol
"Ryan, Johnny",Warszawa,2021,eng,pol
"Sapienza, Goliarda",Białystok,2021,ita,pol
"Le Carre, Georgia",Białystok,2021,eng,pol
"Kuwabara, Taku",Warszawa,,jpn,pol
"Paige, Laurelin",Białystok,2021,eng,pol
"Farrell, Matthew",Białystok,2021,eng,pol
"Torre, Alessandra.",Białystok,2021,eng,pol
"Keeland, Vi",Białystok,2021,eng,pol
"Cha, Frances",Białystok,2021,eng,pol
Tijan,Białystok,2021,eng,pol
"Shen, L. J.",Białystok,2021,eng,pol
"Izumi, Ichimon",Warszawa,,jpn,pol
Nisioisin,Warszawa,2021,jpn,pol
Nisioisin,Warszawa,,jpn,pol
Hakuri.,Warszawa,,jpn,pol
"Kubińska, Olga",Gdańsk,2021,pol,pol
"Gibbs, Stuart",Warszawa,2021,eng,pol
"White, Loreth Anne",Kraków,2021,eng,pol
"Ortiz, Álvaro",Warszawa,2021,spa,pol
"Hagino, Makoto",Warszawa,2021,jpn,pol
"Rice, Heidi",Warszawa,2021,eng,pol
"Maynard, Janice",Warszawa,2021,eng,pol
"Palmer, Diana",Warszawa,2021,eng,pol
"Szczypiorski, Andrzej",Paris,,pol,fre
Annette Marie,Białystok,2021,eng,pol
"Rosenfelt, David",Białystok,2021,eng,pol
"Smart, Michelle",Warszawa,2021,eng,pol
"Głowińska, Anita",Warszawa,2021,pol,vie
"Stychno-Gąsior, Magdalena",Nowy Targ,2021,pol,pol
"Viewegh, Michal",Piaseczno,2021,cze,
"Viewegh, Michal",Piaseczno,2021,cze,
"Březinová, Ivona",Piaseczno,2021,cze,
Disney,Ożarów Mazowiecki,2021,fre,pol
Disney,Ożarów Mazowiecki,2021,fre,pol
"Twardoch, Szczepan",Berlin,,pol,ger
"Berardi, Giancarlo",,2021,ita,pol
"Baudet, Stephanie",Piaseczno,2021,eng,
"Gooden, Philip",Piaseczno,2021,eng,
"Bass, Eduard",Rudno,2021,cze,
"Głowińska, Anita",Warszawa,2021,pol,vie
"Głowińska, Anita",Warszawa,2021,pol,vie
"Głowińska, Anita",Warszawa,2021,pol,vie
"Głowińska, Anita",Warszawa,2021,pol,vie
"Głowińska, Anita",Warszawa,2021,pol,vie
"Takei, Hiroyuki",Warszawa,2021,jpn,pol
"Nishi, Osamu",Warszawa,2021,jpn,pol
"Norwid, Cyprian Kamil",Toruń,2021,pol,epo
"Pilinszky, János",Kraków,2021,,
"Montgomery, Lucy Maud",Ożarów Mazowiecki,2021,eng,pol
"Burnett, Frances Hodgson",Ożarów Mazowiecki,2021,eng,pol
[tłumaczenie: Ewa Tarnowska],Ożarów Mazowiecki,2021,eng,pol
ilustrowały Sybile i Marine Cazaux,Ożarów Mazowiecki,2021,fre,pol
"[ilustracje: Denise Shimabukuro, zespół Disney Storybook Art Team]",Ożarów Mazowiecki,2021,eng,pol
"Kańtoch, Anna",Harkìv,2019,pol,ukr
[ilustracje Deborah Pinto,Ożarów Mazowiecki,2021,fre,pol
"Głowińska, Anita",Warszawa,2021,pol,vie
"Głowińska, Anita",Warszawa,2021,pol,vie
"Głowińska, Anita",Warszawa,2021,pol,vie
"Głowińska, Anita",Warszawa,2021,pol,vie
"Carroll, Lewis",Ożarów Mazowiecki,2021,eng,pol
